Customer Name,Total Sales,Total Profit,Number of orders
Gary Hwang,4172.8460000000005,1176.4181,4
Jim Kriz,4760.434,1172.5303,9
Anthony Johnson,4501.391,1158.7064,7
Philisse Overcash,4893.043,1155.4331,9
Carol Adams,3789.7228,1143.3817,6
Bradley Drucker,4411.2429999999995,1142.1225,6
Giulietta Baptist,4716.288,1135.8393,5
Theone Pippenger,4454.0560000000005,1129.1261,9
Tonja Turnell,5364.808,1124.4999,7
Ivan Liston,5040.736,1121.937,7
Karen Daniels,8282.358,1107.6952000000003,5
Bill Donatelli,5718.521,1094.5037,12
Gary Zandusky,4355.150000000001,1087.7539,9
Anne McFarland,5664.022,1085.7326,8
Frank Hawley,4256.272,1073.2676,10
Jill Fjeld,4198.332,1073.2088,8
Max Jones,6320.746,1054.5529000000001,7
Jonathan Doherty,7610.8640000000005,1050.2667999999999,11
Claudia Bergmann,4246.4555,1049.5601,8
Natalie Webber,7234.014,1023.123,7
Brenda Bowman,6765.728,1015.0749999999999,9
Sample Company A,4624.572,1011.7443,9
Erica Smith,3510.4579999999996,1003.2935,5
Ionia McGrath,2872.63,975.7701,3
Annie Thurman,3831.864,974.107,10
Katherine Murray,5620.186,973.7901999999999,8
Heather Kirkland,4877.784,956.9451,8
Dana Kaydos,4282.176,937.6496,5
Bart Watters,4750.358,921.2574,8
Sarah Brown,6410.996,885.4623999999999,6
Damala Kotsonis,3256.48,881.1228000000001,12
Arianne Irving,4375.786,867.7271000000001,10
Thomas Seio,5371.09,862.8877,7
Caroline Jumper,11164.974,858.7414,8
Anna Andreadi,5086.9349999999995,857.8033,6
Craig Carroll,2854.1150000000002,850.1591,4
Karen Carlisle,2120.954,846.1217,6
Maribeth Schnelling,7443.6900000000005,844.9354999999998,10
Deborah Brumfield,4655.897,841.8263999999999,8
George Ashbrook,3919.7760000000003,840.899,8
Luke Weiss,5420.514,837.2411,7
Robert Dilbeck,2786.632,835.772,5
Christine Sundaresam,3202.1620000000003,831.9432,11
Thomas Boland,3589.296,829.1635,4
George Zrebassa,2454.6220000000003,828.661,4
Ken Lonsdale,14175.229000000001,806.855,12
Hunter Glantz,3690.284,804.6113,7
Pauline Webber,3454.916,803.8169,10
Brosina Hoffman,6255.351,802.7898,8
Shaun Weien,2921.544,793.6548,7
Gary Mitchum,3078.624,793.2814000000001,6
Justin Ellison,2697.248,789.6476,3
Neoma Murray,2161.979,788.9525000000001,10
Mary Zewe,2564.906,787.7503,6
John Lucas,2725.256,779.9046,6
Karen Bern,3152.6150000000002,763.9076,7
Stephanie Ulpright,2595.364,763.4719,7
Nicole Hansen,2673.29,760.1666,7
Jeremy Pistek,3635.594,757.1802,7
Bobby Elias,2261.438,755.9150999999999,5
Justin MacKendrick,2833.9260000000004,754.1144,10
Ted Trevino,4915.602,751.9567,7
Jim Karlsson,3760.028,750.9485,7
Kunst Miller,4909.472,745.7685,8
Chris Selesnick,2754.216,738.3626,12
Tamara Willingham,5278.826,737.3905,7
Rob Dowd,2912.8940000000002,734.5158,10
Alejandro Grove,2582.898,732.7399,5
Doug Jacobs,3356.398,731.5644,3
Ken Heidel,3918.9660000000003,727.3786,9
Rick Reed,3302.2619999999997,721.6826,6
Alan Schoenberger,4260.784,719.7751000000001,5
William Brown,6160.102,714.3311,11
Fred Chung,3889.366,714.2926,7
Roland Fjeld,2341.2960000000003,711.6168,7
Kelly Collister,3908.262,709.4219,4
Robert Waldorf,3495.646,707.5503,5
Fred Harton,2271.284,706.289,4
Rob Williams,3279.746,698.8325,9
Michael Chen,3805.714,698.4174,7
Marina Lichtenstein,2722.843,684.9162,9
Jack Garza,2358.676,684.1911,3
Pauline Johnson,1824.2340000000002,682.9979000000001,7
Elizabeth Moffitt,2339.598,682.5541999999999,8
Toby Gnade,3058.372,682.1704,5
Scott Cohen,3729.7929999999997,671.0033999999999,8
Emily Ducich,3484.92,670.4435000000001,8
Lindsay Williams,3230.308,662.8339000000001,6
Ellis Ballard,4358.128,656.1988,5
Keith Herrera,5952.859,656.1162,7
Becky Pak,1697.8609999999999,647.3847000000001,6
Rick Bensley,4715.466,640.5466,12
Michael Paige,3983.6420000000003,638.1563,9
Jennifer Ferguson,2371.448,635.6376,6
Kalyca Meade,2260.958,635.1057000000001,6
Brian Dahlen,3288.471,634.8463,7
Randy Ferguson,3309.15,633.7072000000001,8
Ricardo Sperren,3221.29,633.4513999999999,5
Nora Preis,7903.1825,631.2282,7
Xylona Preis,2374.658,621.23,11
Steve Chapman,2576.408,611.8291,10
Sue Ann Reed,4767.3415,610.1496000000001,10
Toby Carlisle,4266.812,606.3727,8
Mark Packer,3206.132,600.2873,7
Roy Phan,2170.716,594.5868,8
Jeremy Lonsdale,3173.874,591.7163,6
Phillip Flathmann,2206.1279999999997,591.3118000000001,5
Juliana Krohn,3747.668,586.6625,3
Suzanne McNair,5563.392,581.5741999999999,12
Jack O'Briant,3254.949,581.4045,9
Nat Carroll,2461.404,580.3075,5
Ken Black,2744.742,579.3551,12
Arthur Prichep,3323.556,579.3113,10
Jamie Frazer,2279.5860000000002,575.1259,7
Tamara Manning,2955.2259999999997,573.3013,8
Sandra Glassco,3406.5809999999997,570.438,3
Sung Pak,4282.94,566.7226,10
John Stevenson,3868.02,564.9798000000001,5
Rick Hansen,3621.3759999999997,563.7877,5
Dave Poirier,2215.002,563.1761,8
Deirdre Greer,3195.818,562.7761,5
Lauren Leatherbury,2741.2039999999997,560.0078,6
Sally Hughsby,3406.8395,558.4739999999999,13
Lisa DeCherney,1961.934,557.1714,4
Ralph Arnett,2617.906,546.0882,9
Duane Noonan,2139.79,540.5405000000001,7
Sylvia Foulston,3336.535,539.9352,9
Ken Dana,2243.5099999999998,539.7219,5
Dave Kipp,2650.557,536.3935,7
Lena Radford,5142.892,535.4764,6
Katherine Hughes,3100.612,528.2051,6
Sara Luxemburg,3053.012,527.9715,7
Peter McVee,4115.662,526.7537,4
Lena Hernandez,2295.332,526.0727,9
Benjamin Farhat,1585.162,523.2133,4
Ashley Jarboe,1839.24,521.1351999999999,7
Frank Atkinson,2984.054,520.5229,7
Irene Maddox,4930.474,514.6527,7
Nora Paige,3908.402,514.6002,5
Nora Pelletier,1228.698,514.5017,6
Valerie Mitchum,2454.866,513.5269,7
Meg Tillman,2890.139,509.0068,6
Jenna Caffey,1058.108,502.92440000000005,1
Janet Molinari,1804.146,502.6143,5
Clytie Kelty,2372.75,497.70980000000003,11
Edward Nazzal,2199.366,496.1131,4
Anthony Rawles,4523.336,494.83519999999993,8
Christina VanderZanden,2830.6279999999997,493.0861,5
Toby Braunhardt,2198.45,490.9567,6
Rob Lucas,6234.91,488.14840000000004,8
Stewart Visinsky,4105.305,485.0272,9
Mark Hamilton,2456.1820000000002,484.77330000000006,8
Denny Joy,2012.52,483.03499999999997,4
Steve Nguyen,3127.9592,481.74989999999997,7
Rick Duston,4272.93,480.594,8
Richard Bierner,2663.0860000000002,477.23990000000003,8
Michelle Huthwaite,2984.948,476.9032,5
Dave Brooks,4531.646,473.0272,7
Resi Pölking,5153.084,465.25030000000015,12
Deanra Eno,2550.874,464.47139999999996,5
Speros Goranitis,3124.832,463.269,6
Marc Crier,2725.982,461.0014,8
Monica Federle,1758.3,456.86080000000004,5
Ruben Dartt,3133.924,455.5292,9
Katharine Harms,3312.864,454.7871,8
Justin Ritter,2201.686,452.37300000000005,5
Eva Jacobs,2656.691,451.87550000000005,5
Brian Thompson,3196.752,447.74839999999995,7
Neil Ducich,2893.455,443.33680000000004,6
Patrick Jones,1220.09,442.1355,8
Gene McClure,1255.682,441.3185,10
Scot Coram,4371.9580000000005,440.14099999999996,4
Denny Blanton,1711.692,438.9092,4
Doug Bickford,1989.05,438.80119999999994,7
Patrick O'Donnell,2493.214,437.8533,7
Andrew Allen,1790.5120000000002,435.8274,4
Paul Van Hugh,2876.046,434.52840000000003,5
Bart Pistole,2442.044,433.9751,12
Daniel Byrd,2171.599,431.3748,8
Jennifer Patt,1669.135,429.7465,7
Cathy Prescott,5402.254,427.0258,8
Carlos Daly,2033.968,426.661,5
Chuck Clark,2870.05,424.6583,10
Beth Thompson,2567.656,417.5918,5
Max Ludwig,2071.9139999999998,409.51120000000003,7
Bradley Talbott,2684.4919999999997,409.4983,5
Chad McGuire,1661.6100000000001,409.0679,4
Frank Preis,4046.746,406.44730000000004,8
Cynthia Delaney,1860.732,403.8422,5
Nick Zandusky,2488.31,402.4236,9
Katrina Edelman,1686.7312,397.87989999999996,8
Frank Gastineau,1383.144,394.73969999999997,7
Chris Cortes,3913.418,393.9618,12
Charles Crestani,2471.65,392.2825,7
Raymond Messe,1453.474,392.1499,6
Ted Butterfield,1467.881,390.2113,5
Nicole Fjeld,2031.472,388.2131,7
Ed Jacobs,2162.174,387.0176,4
Brendan Sweed,2454.928,381.7807,6
Trudy Brown,2797.668,379.882,9
Shaun Chance,1874.998,379.5611,7
Dennis Kane,3318.486,377.0799,8
Harold Pawlan,1990.314,373.8637,7
Victoria Brennan,2005.596,371.2398,6
Carl Weiss,1136.592,370.8298,6
Steve Carroll,1254.64,370.1578,6
Sam Zeldin,3625.329,366.43030000000005,11
Trudy Glocke,2074.661,365.7205,4
Aaron Hawkins,1744.7,365.2152,7
Chris McAfee,2305.712,365.0387,5
Ben Peterman,3675.861,363.5991,9
Georgia Rosenberg,1284.38,359.83320000000003,2
Jessica Myrick,1733.443,356.5395,7
Alejandro Savely,3214.236,354.62760000000003,6
Natalie DeCherney,4326.139,353.64549999999997,9
Dianna Vittorini,3341.587,353.2127,6
Lynn Smith,1008.1360000000001,348.3584,6
Gary McGarr,3582.8199999999997,347.266,7
Don Jones,2501.6879999999996,345.2521,8
Arthur Gainer,4510.797,343.6824,10
Nancy Lomonaco,1418.0900000000001,343.6381,4
Matthew Grinstein,3785.276,341.898,7
Bradley Nguyen,1459.344,340.7054,5
Liz Preis,3653.399,338.44539999999995,7
Paul Gonzalez,1987.164,334.5163,9
Bruce Degenhardt,1526.5,333.9791,6
Dean percer,7198.7609999999995,333.36479999999995,11
Scott Williamson,1966.65,332.8725,6
Saphhira Shifley,1324.028,332.3487,8
Corey Catlett,2540.631,331.434,7
Jay Kimmel,2709.632,330.2838,8
Jay Fein,1911.844,330.199,6
Kristina Nunn,2280.58,329.76250000000005,8
Katherine Ducich,1888.964,328.5942,6
Carl Ludwig,1262.0140000000001,328.0847,4
Dan Lawera,1503.112,322.2449,8
Liz Thompson,2936.252,320.973,8
Ivan Gibson,744.574,320.4982,4
Maribeth Yedwab,2254.285,319.1211,7
Ross DeVincentis,1137.616,318.4625,8
Art Ferguson,2052.908,317.9712,7
Logan Haushalter,1739.689,316.5202,9
Benjamin Venier,1523.2730000000001,315.2214,5
Aimee Bixby,966.71,313.6597,5
Nat Gilpin,1869.58,313.63349999999997,5
Julie Prescott,1707.71,309.7116,9
Craig Reiter,1600.55,306.9176,4
Russell Applegate,4793.543,304.8673,9
Barry Französisch,2888.506,302.02,8
Lindsay Castell,3246.626,299.48019999999997,4
Ann Chong,2537.6859999999997,298.8273,5
Andrew Gjertsen,2356.855,295.6668,8
Doug O'Connell,1267.316,294.0676,7
Ken Brennan,983.922,293.55240000000003,7
Tony Molinari,1094.6779999999999,292.52099999999996,3
Dennis Bolton,1081.466,291.0085,5
Michael Nguyen,2477.946,290.8227,6
Matt Collister,2426.067,288.98409999999996,6
Delfina Latchford,1458.258,288.8732,8
Linda Cazamias,4492.946,288.26599999999996,8
Sarah Foster,3422.7859999999996,286.9046,9
Anne Pryor,1638.554,285.7888,8
Evan Bailliet,1186.326,282.1701,6
Adam Hart,3250.337,281.189,10
Maxwell Schwartz,3144.678,280.85839999999996,9
Michelle Arnett,2453.284,280.7822,6
Philip Brown,1456.95,280.6606,8
Roy Französisch,945.222,280.0261,8
Christina Anderson,2648.2872,279.6183,9
John Castell,2772.055,279.56919999999997,9
Bill Overfelt,2682.728,278.77700000000004,5
Thomas Thornton,1427.0439999999999,278.7371,8
Allen Armold,1056.39,277.3824,9
Jeremy Ellison,1388.682,276.2197,6
Harold Engle,883.5319999999999,274.4028,4
Katrina Bavinger,908.821,274.297,3
Mike Vittorini,1734.574,273.8582,7
Pamela Coakley,1832.064,272.685,4
Christy Brittain,1949.2,272.3883,8
Helen Abelman,2163.3,270.8574,7
Ralph Kennedy,1460.192,269.688,3
Todd Boyes,834.328,268.967,5
Stephanie Phelps,1872.4360000000001,268.4782,9
Theresa Coyne,1038.26,265.5332,1
Alejandro Ballentine,914.5319999999999,264.5675,9
Lindsay Shagiari,2988.674,262.63669999999996,9
Emily Burns,2767.219,261.5315,10
Christine Kargatis,2945.321,261.22090000000003,5
Theresa Swint,2163.6240000000003,260.87440000000004,6
Stefanie Holloman,2096.392,260.6258,2
Tim Brockman,1602.376,260.6155,7
Bill Tyler,2186.6130000000003,257.9163,6
Kean Takahito,3057.1,254.0032,7
Becky Castell,2933.676,251.5974,9
David Kendrick,797.832,249.9447,2
Filia McAdams,2456.638,249.6808,10
Zuschuss Donatelli,1493.944,249.1307,5
Patrick Ryan,1840.178,247.6226,5
Maurice Satty,1613.402,247.4348,6
Ben Wallace,1738.406,246.9973,6
Erin Smith,4657.924,246.6661,9
Christine Abelman,1421.954,246.02179999999998,4
Luke Schmidt,1010.2560000000001,244.197,6
Roger Barcio,2067.45,243.07549999999998,4
Evan Henry,923.884,242.1107,6
Darren Powers,1050.636,241.4524,9
Eudokia Martin,1041.0420000000001,240.2362,4
Brian Stugart,3288.1099999999997,238.73680000000002,3
Maya Herman,2203.7780000000002,238.5614,7
Shahid Collister,5992.536,236.66149999999996,9
Kelly Andreada,1519.506,234.9194,7
Christina DeMoss,1205.584,233.0274,2
Logan Currie,2633.582,231.12520000000004,9
Giulietta Dortch,1888.07,230.93729999999996,4
Patrick Bzostek,740.356,229.2257,3
Sean Christensen,3979.065,229.1617,7
Craig Leslie,2353.586,229.00990000000002,5
John Lee,9799.923,228.907,11
Sandra Flanagan,763.5459999999999,228.1623,7
Mike Kennedy,1031.602,227.83380000000002,4
Barbara Fisher,599.798,227.4384,7
Mike Pelletier,5087.92,226.4529,9
Pete Armstrong,729.408,225.8588,6
Tracy Zic,1707.286,224.8887,4
Denise Leinenbach,585.02,222.6812,4
Joel Eaton,6760.8150000000005,221.79670000000002,13
Trudy Schmidt,3368.094,220.91629999999998,5
Alan Barnes,1113.838,220.813,8
Toby Ritter,675.9419999999999,220.36440000000002,5
Peter Bühler,688.324,218.15970000000002,4
Tracy Collins,742.5580000000001,217.933,7
Nathan Gelder,1395.9379999999999,217.0893,5
Frank Olsen,2678.438,215.59689999999998,10
Candace McMahon,1673.888,214.463,6
Darren Budd,2839.2272,213.00289999999998,5
Maria Bertelson,1548.702,212.425,10
Cathy Armstrong,1679.7240000000002,211.2559,5
Matt Collins,1303.893,210.7493,8
Dean Katz,4802.394,209.89940000000004,9
Barry Pond,983.42,209.78300000000002,5
James Lanier,1571.523,209.2817,5
Richard Eichhorn,876.696,209.2294,5
Chad Cunningham,1770.945,208.5912,6
Roger Demir,1419.737,207.3304,10
Brian DeCherney,1538.11,206.75689999999997,6
John Grady,1507.018,206.1019,6
Corey-Lock,1300.076,205.62820000000002,5
Victor Preis,993.9019999999999,205.3888,3
Cynthia Arntzen,3041.566,204.48950000000002,7
Jas O'Carroll,1934.272,202.13619999999997,6
Julie Creighton,858.576,201.5952,5
Julia Barnett,2518.115,201.51850000000002,5
Jennifer Jackson,709.178,200.5558,5
Shirley Schmidt,613.4,199.93449999999999,3
Don Miller,1376.792,199.7688,3
Stuart Van,1271.0900000000001,199.6502,4
Paul Stevenson,1278.639,198.5099,8
Frank Merwin,3736.198,198.10949999999997,9
Philip Fox,2770.0,196.87389999999996,6
Matt Connell,2258.192,195.4486,8
Cathy Hwang,1537.236,195.15109999999999,3
Alice McCarthy,814.012,194.9878,5
Kean Thornton,4642.088400000001,194.0671,10
Bryan Spruell,949.4300000000001,194.0516,2
Darrin Sayre,1762.213,193.3319,4
Liz Willingham,1259.04,192.6312,3
Parhena Norris,1467.152,192.0396,8
Fred McMath,2523.266,191.4898,9
Mark Van Huff,1560.05,189.0258,9
Greg Maxwell,6049.966,188.7235,3
Craig Carreira,2269.7015,187.8399,7
Hallie Redmond,1299.288,185.5794,5
Cari Sayre,1278.954,185.3776,5
Eugene Barchas,3071.126,184.7656,6
Thomas Brumley,816.1740000000001,179.0038,4
Magdelene Morse,1314.023,178.402,4
Duane Benoit,1155.202,177.67350000000002,7
Craig Molinari,3984.4524,176.3108,4
Dorris liebe,755.602,175.2388,5
Rob Haberlin,2085.7400000000002,172.6261,3
Michael Granlund,776.384,171.7372,9
Mick Hernandez,5503.093,170.9746,9
Dean Braden,2332.577,169.9679,10
Claire Gute,1148.7800000000002,169.93439999999998,3
Meg O'Connel,1687.0269999999998,169.34369999999998,8
Sally Knutson,883.409,168.7933,3
Jesus Ocampo,1090.838,167.6709,5
David Smith,2881.8128,163.6993,9
Mathew Reese,639.178,162.9363,4
Erica Bern,1643.255,162.8781,4
Laurel Elliston,1469.45,161.76489999999998,6
Carol Triggs,3241.898,161.22629999999995,8
Paul MacIntyre,1405.402,157.8768,3
Sarah Bern,1348.02,157.6658,3
Kimberly Carter,1146.05,156.7797,4
Chuck Sachs,550.644,156.2593,2
Jennifer Braxton,1791.605,156.05319999999998,10
Annie Zypern,1622.0179999999998,154.9503,6
Cindy Chapman,1659.438,154.851,9
Julia West,1428.731,154.06369999999998,4
Anthony Jacobs,4867.344,150.71300000000005,7
Erica Hackney,825.9499999999999,150.3759,6
Cassandra Brandow,6076.139,150.2089,10
Lori Olson,644.35,150.1712,5
Harry Greene,785.628,147.0032,5
Emily Phan,5478.0608,144.9578,17
Corey Roper,475.9,144.7594,3
Sanjit Jacobs,3949.656,144.1189,12
Chad Sievert,884.64,143.8339,4
Vivek Gonzalez,846.01,143.6268,6
Brian Derr,582.646,141.53400000000002,3
Chloris Kastensmidt,3154.855,141.2831,13
Bryan Davis,658.466,141.265,6
Tracy Poddar,1936.6399999999999,139.22869999999995,4
Brad Eason,1727.652,139.20080000000002,6
Michelle Lonsdale,742.082,138.71620000000001,3
Bryan Mills,1338.842,137.7439,10
Patrick Gardner,3086.907,137.46130000000002,13
Guy Armstrong,1398.382,136.70790000000002,11
Ann Steele,833.398,136.49190000000002,7
Sonia Sunley,418.49,135.5401,6
Debra Catini,1174.618,132.06820000000002,5
Aaron Bergman,886.156,129.3465,3
Brad Thomas,415.19599999999997,126.8694,2
Joy Bell-,644.1188,126.76490000000001,7
Julie Kriz,2932.484,122.6566,10
Matt Hagelstein,1252.8,122.3612,4
Mike Caudle,1581.9979999999998,121.7565,5
Neil Knudson,572.048,121.2177,7
Bruce Geld,1006.356,119.34790000000001,6
Tony Chapman,1244.976,119.104,9
Mick Brown,1428.231,117.8057,7
Nona Balk,1972.599,117.6429,9
Henry MacAllister,736.276,117.2755,4
Jim Mitchum,864.947,117.20400000000001,5
Brendan Dodson,320.54,116.714,2
Duane Huffman,1043.096,116.667,4
Vivian Mathis,380.69,116.6373,5
Kean Nguyen,2171.962,114.3083,5
Charles Sheldon,844.4580000000001,113.1405,5
Jill Matthias,303.948,113.1204,5
Julia Dunbar,695.442,111.11410000000001,3
Bart Folk,272.95,110.9272,3
Liz Pelletier,756.606,110.7813,4
Dorothy Badders,3908.8028,109.32700000000001,7
Dario Medina,1322.034,108.7583,7
Jocasta Rupert,863.88,107.985,1
Kelly Williams,449.096,107.92699999999999,4
Brooke Gillingham,1874.172,107.5715,6
Michelle Ellison,1256.944,107.3604,4
Susan Vittorini,1903.491,106.8912,8
Cari Schnelling,537.632,105.8275,6
Emily Grady,1832.02,104.2656,5
Andy Yotov,497.014,103.3499,4
Eric Murdock,933.704,102.29599999999999,5
Alyssa Tate,1171.814,100.87680000000002,6
Sonia Cooley,902.7280000000001,100.2253,5
Helen Andreada,2584.158,99.1445,8
Cynthia Voltz,2370.3136,98.99749999999999,9
Heather Jas,358.1,98.6548,5
Jason Fortune-,955.124,97.28899999999999,5
Eileen Kiefer,1303.478,97.10659999999999,4
Erin Creighton,461.914,96.4256,5
Eugene Hildebrand,3082.653,96.27019999999999,10
Sean Wendt,1019.044,95.8383,3
Brendan Murry,808.162,95.58160000000001,6
Tim Taslimi,439.5,93.9162,3
Tiffany House,1022.201,92.729,8
Charlotte Melton,1475.144,91.2033,6
Khloe Miller,453.538,91.1391,5
Tamara Dahlen,1434.5480000000002,88.1897,9
Liz Carlisle,2095.064,86.77799999999999,5
Hilary Holden,218.668,86.7342,2
Catherine Glotzbach,904.4680000000001,86.5106,6
Neil Französisch,377.16200000000003,85.92779999999999,4
Maria Zettner,593.606,85.01910000000001,4
Shui Tom,433.34000000000003,84.4419,7
MaryBeth Skach,475.65599999999995,84.0268,4
Angele Hood,738.504,83.96300000000001,4
Cyra Reiten,1397.8724,83.27029999999999,3
Michael Moore,3794.0800000000004,82.12499999999997,11
Max Engle,1908.4532,77.81280000000001,8
Rob Beeghly,528.546,76.8879,5
Clay Rozendal,2148.852,74.40129999999999,4
Robert Barroso,221.084,72.679,5
Don Weiss,344.08,69.6672,5
Allen Goldenen,200.945,69.2784,5
Steven Ward,758.6959999999999,68.2416,2
Shirley Jackson,1318.776,68.09629999999999,5
Anthony Witt,649.376,65.77250000000001,4
Adam Shillingsburg,3255.31,64.53739999999998,9
Chuck Magee,287.99,64.4296,3
Roy Collins,966.409,63.991400000000006,6
Mark Haberlin,400.016,61.428599999999996,4
Craig Yedwab,2900.026,60.64670000000001,8
Astrea Jones,629.2479999999999,60.4265,3
Rachel Payne,954.6452,59.538399999999996,4
Bobby Odegard,130.83,59.4522,2
Mary O'Rourke,922.487,59.357699999999994,4
Aleksandra Gannaway,367.548,59.288399999999996,4
Larry Tron,329.876,59.036,3
Muhammed MacIntyre,775.414,58.8916,9
Dianna Arnett,156.76,56.7904,4
Jason Klamczynski,383.812,55.32769999999999,3
Michael Stewart,855.116,55.226,6
Joe Kamberova,4867.2,55.0483,10
Janet Lee,2203.7,54.51740000000002,5
Eric Hoffmann,684.1709999999999,53.53980000000001,8
Stuart Calhoun,279.25600000000003,51.8252,4
Karl Braun,1569.464,49.71929999999999,9
Tom Stivers,2054.14,48.70169999999999,5
Patricia Hirasaki,729.648,47.8878,1
Andrew Roberts,264.86400000000003,43.6695,5
Muhammed Lee,162.232,42.6648,2
Erin Mull,228.99,40.15459999999999,4
Lycoris Saunders,368.88000000000005,39.1952,3
Patrick O'Brill,7473.8282,38.47569999999996,11
Brad Norvell,265.296,36.6131,4
Dorothy Dickinson,269.542,36.4344,6
Greg Matthias,3163.628,35.48649999999999,6
Russell D'Ascenzo,970.9420000000001,35.05740000000001,4
Joel Jenkins,195.0,34.449200000000005,2
Clay Cheatham,113.832,33.870599999999996,3
Alan Shonely,584.6080000000001,33.715799999999994,7
Anemone Ratner,88.15,32.633,1
Laurel Workman,2238.061,32.5767,5
Guy Phonely,236.53,31.837600000000002,2
Sung Chung,280.632,31.1757,2
Marc Harrigan,2394.025,28.761200000000038,6
Roland Murray,98.35,28.6879,1
Ed Ludwig,124.28,27.1154,2
Joy Daniels,385.43,26.7605,6
John Huston,528.91,26.082199999999997,6
Maureen Gastineau,2350.188,25.888599999999972,4
Beth Fritzler,791.9899999999999,25.870199999999997,3
Nicole Brennan,273.87199999999996,24.788800000000002,2
Fred Wasserman,79.75,23.491300000000003,3
Phillip Breyer,132.738,21.897000000000002,2
Adrian Shami,58.82,21.8496,2
Evan Minnotte,366.822,21.7721,3
Janet Martin,3159.1220000000003,19.82350000000004,6
Melanie Seite,370.348,19.431199999999997,4
Larry Blacks,50.188,18.6507,3
Susan Pistek,3990.689,14.692400000000003,6
Ed Braxton,3644.978,13.621500000000005,9
Greg Guthrie,2224.0,12.698500000000008,9
Larry Hughes,287.426,12.627699999999999,3
Anthony O'Donnell,161.28,12.096,1
Barry Blumstein,744.3399999999999,11.583900000000007,5
Tony Sayre,2243.274,11.377899999999983,6
Ryan Crowe,885.752,10.563300000000002,6
Roy Skaria,22.328,9.5838,2
George Bell,1568.44,7.837100000000003,11
Ricardo Emerson,48.36,6.045,1
Daniel Lacy,3272.2,4.213200000000029,6
